42,1144
33,1291
20,1887
20,1171
28,816
24,1088
31,1330
36,1538
24,1350
32,1441
42,1201
26,1314
17,1539
33,1311
29,1570
27,1348
27,1671
21,1028
30,1336
21,1207
27,1178
16,692
18,931
23,1126
21,1110
22,1051
23,1197
40,1904
18,1052
38,1045
25,1038
26,1596
24,1589
28,1411
24,1291
43,1407
37,1877
22,966
28,1464
16,704
28,1109
28,1347
33,1756
32,1756
23,1042
28,1444
27,1741
27,1719
27,1217
40,1140
30,1878
19,705
38,1946
35,1414
15,602
32,1052
40,1295
29,1424
25,1359
27,1168
33,1097
15,691
28,1316
26,1276
23,1289
32,1293
35,1353
28,1132
17,1670
15,837
41,1550
36,1540
21,1256
35,1394
24,1341
33,1289
23,1112
57,2339
23,1468
35,1334
41,1457
29,1603
12,615
20,1068
27,1590
35,1531
31,1212
32,1237
14,1413
29,1516
21,1276
35,1564
34,1465
29,1286
20,1312
32,1673
30,1313
42,1609
19,1158
18,836
22,1289
26,1487
33,1259
15,1298
34,1226
37,1566
21,1022
30,1235
44,1951
31,1047
32,1342
21,1107
35,1251
24,1305
37,1388
18,1235
36,2089
25,1626
24,1111
38,1553
13,1064
29,1243
38,1659
47,1594
42,1268
24,1304
30,1368
23,720
29,1521
30,1137
16,978
16,1221
28,1565
34,1578
32,1493
27,1178
26,991
42,2560
29,1657
19,1204
18,673
18,1131
25,1576
20,1217
10,530
16,739
31,1617
34,1592
30,1343
39,1303
22,1351
32,1910
22,1298
29,1087
26,1439
28,1238
29,1716
27,1099
24,1058
29,1285
28,1651
31,1152
38,1767
24,1039
28,1130
30,1645
29,1413
23,1218
17,597
53,2184
37,1592
28,1388
20,757
34,1504
34,1503
28,1105
47,2398
32,1661
22,1421
28,999
18,1387
24,1243
36,1860
25,1502
50,1460
27,1348
33,1087
33,1226
28,1230
32,1555
24,1827
35,1376
37,1771
52,1873
42,1679
22,1002
21,1344
42,1461
21,760
22,1428
42,1777
27,1302
41,1483
27,1060
32,1330
27,1229
27,886
24,844
37,1450
48,2311
26,1378
26,1033
40,1523
37,1374
21,1080
24,1234
32,1600
32,1155
33,1353
25,1546
43,1590
22,1448
24,1271
20,1223
29,1117
24,994
26,1468
38,1658
38,1368
18,1218
12,702
21,1516
26,1310
50,1767
25,933
27,1512
17,829
27,1120
33,1506
36,1384
30,817
25,2094
21,815
24,510
49,1377
33,1193
36,1287
19,701
25,1770
35,1409
28,1354
34,1765
27,1192
17,687
15,1227
26,1737
34,1348
38,1435
28,1321
29,1479
39,1283
23,689
17,965
40,1541
23,1258
20,1339
22,1007
33,1387
18,960
18,1119
41,1642
31,1382
32,1232
16,1542
32,1094
30,1217
18,744
33,1614
31,1747
22,1144
34,1575
24,1463
21,1706
14,909
33,2434
41,1876
25,1000
30,1139
21,799
45,1881
27,1273
33,1328
36,1579
28,937
37,1749
29,1424
41,2011
31,1208
24,1259
26,1319
27,949
30,1338
26,1554
32,1350
44,1694
40,1678
43,2069
23,1222
37,1536
31,1400
28,1050
33,1389
29,1184
42,2093
11,678
29,1467
27,1219
36,1730
28,1025
33,1165
55,2133
13,1122
22,1083
23,1234
23,1277
35,1843
49,1747
22,1166
31,1326
36,1619
16,1285
28,1142
46,1190
24,1052
38,1628
32,1740
29,1378
26,996
32,1389
38,1365
43,1715
25,1582
22,1220
13,715
49,2552
31,1106
34,1731
32,1435
38,1882
34,2058
32,1658
32,1334
29,1441
39,1371
38,1991
22,1278
39,1734
34,1330
31,1787
32,1672
41,1439
31,1558
47,1795
22,893
27,1099
23,1408
15,1893
31,1151
31,1519
25,1245
27,1102
33,1402
30,1060
35,1459
39,1456
48,1439
24,1353
32,1173
28,1746
28,1279
29,1307
37,1473
37,1805
23,1421
37,1272
34,1409
15,647
25,1275
27,1270
37,1702
26,1256
53,3178
29,1626
33,1562
57,1960
38,1154
38,1629
25,1226
27,1743
39,1139
21,1073
17,683
32,1159
47,1859
28,1205
37,1409
18,1000
39,1209
25,1366
44,1161
38,1512
35,1750
24,1170
50,2218
33,1198
26,1329
36,857
30,1470
25,1435
22,1093
20,715
42,1512
43,2399
22,906
16,1052
11,975
20,783
21,990
24,1097
35,901
41,1327
31,1814
34,1365
34,1058
38,1476
36,1230
44,1581
29,1534
39,1612
36,1302
40,1439
45,1724
35,1784
29,1156
49,2556
37,1590
19,884
25,973
30,1447
26,1150
21,1193
21,706
23,1257
35,1303
39,1306
20,748
42,1774
25,1209
31,1074
50,1786
36,1456
25,1300
42,1470
25,715
24,1198
43,1556
30,1606
31,929
54,1606
32,1199
60,2400
44,1337
33,1270
14,654
54,1909
25,922
42,1158
26,1323
35,1025
35,1700
51,1628
32,1377
33,1517
25,1528
24,1329
33,1505
38,1172
39,1646
32,1693
23,1336
19,1289
32,1416
33,1608
51,1885
53,1744
48,1922
29,1448
36,1300
31,1366
39,1439
46,1241
33,1917
39,1391
31,1246
27,1248
44,1936
63,2375
25,1238
41,1626
22,791
28,1204
33,1300
47,1612
28,1071
37,1378
29,1100
45,2052
33,1349
36,1215
25,1149
50,2354
40,2644
14,918
31,1362
37,1222
32,1364
40,1463
31,1631
55,1878
32,1489
37,1437
37,1313
38,1290
49,1975
22,807
28,1438
29,1233
27,709
39,1597
28,1283
37,1101
36,1593
46,1631
53,2194
27,1128
35,1497
50,1385
27,1449
28,974
18,731
37,1191
34,1421
35,1256
50,1744
39,1766
48,2229
39,1773
37,1860
27,1179
16,906
54,2781
53,1650
37,1446
48,1703
17,761
44,1536
36,1373
29,1256
16,643
